City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,ilha de mocambique,-15.0342,40.7358,24.62,78,37,4.82,MZ,1683683090
190,mount gambier,-37.8333,140.7667,15.82,55,84,1.1,AU,1683682814
191,khovd,48.0056,91.6419,11.11,41,13,2.23,MN,1683683090
192,san agustin de valle fertil,-30.6335,-67.4682,15.94,60,28,1.57,AR,1683683091
193,sinop,41.7711,34.8709,7.79,99,100,1.21,TR,1683683035
194,nikol'sk,53.7189,46.0712,3.57,72,99,2.61,RU,1683683091
195,sanford,28.8006,-81.2731,27.38,74,0,4.12,US,1683682796
196,severo-yeniseyskiy,60.3725,93.0408,-2.17,58,100,3.47,RU,1683682795
197,mana,5.6592,-53.7767,25.6,85,87,4.78,GF,1683683091
198,villa gesell,-37.2639,-56.973,9.47,66,63,5.62,AR,1683683092
199,mooresville,35.5849,-80.8101,24.1,64,0,5.63,US,1683682840
200,stephenville,32.2207,-98.2023,24.0,80,40,2.06,US,1683683092
201,sao joao da barra,-21.6403,-41.0511,23.51,84,97,3.25,BR,1683682940
202,vila franca do campo,37.7167,-25.4333,18.23,95,90,1.86,PT,1683683092
203,shakawe,-18.3667,21.85,14.49,48,0,1.28,BW,1683682980
204,touros,-5.1989,-35.4608,25.63,86,21,4.72,BR,1683683000
205,mata-utu,-13.2816,-176.1745,28.65,73,100,3.22,WF,1683683053
206,greymouth,-42.4667,171.2,9.85,76,98,8.43,NZ,1683683093
207,buka,40.8108,69.1986,20.94,29,4,0.93,UZ,1683683084
208,khilok,51.3674,110.4676,18.73,23,100,2.12,RU,1683683093
209,saipan,15.1355,145.701,31.39,100,40,5.14,MP,1683683028
210,bako,5.7833,36.5667,16.8,96,100,0.9,ET,1683683094
211,dombarovskiy,50.7587,59.5386,9.86,73,100,9.32,RU,1683683094
212,bathurst,-33.4166,149.5806,17.13,55,0,0.45,AU,1683683094
213,asau,46.4333,26.4,5.51,90,69,1.18,RO,1683683094
214,axim,4.8699,-2.2405,27.05,83,18,1.83,GH,1683683094
215,solleftea,63.1667,17.2667,8.73,69,100,1.87,SE,1683683095
216,idri,27.5,13.2667,17.45,58,2,8.36,LY,1683683095
217,alofi,-19.0595,-169.9187,28.94,70,40,4.12,NU,1683683095
218,punta arenas,-53.15,-70.9167,-0.94,93,20,2.06,CL,1683682814
219,tambo grande,-4.9269,-80.3447,26.35,73,89,3.68,PE,1683683095
220,tsiombe,-25.3,45.4833,20.39,91,3,2.45,MG,1683683068
221,labuan,5.2767,115.2417,28.2,83,20,1.03,MY,1683683096
222,ballina,-28.8667,153.5667,20.43,70,69,6.82,AU,1683682770
223,dakhla,23.6848,-15.958,18.41,95,0,6.14,EH,1683683096
224,fort mcmurray,56.7268,-111.381,17.77,51,20,4.63,CA,1683683096
225,zoucheng,35.4006,116.9656,23.45,31,99,0.91,CN,1683683096
226,santa marta de ortigueira,43.6833,-7.85,11.25,86,39,0.45,ES,1683683097
227,woolgoolga,-30.1106,153.2007,20.93,59,1,6.29,AU,1683683097
228,dzialdowo,53.2396,20.17,1.1,75,4,4.1,PL,1683682938
229,papparappatti,12.2167,78.0667,26.5,69,97,0.87,IN,1683683097
230,suntar,62.1444,117.6319,5.37,95,100,2.62,RU,1683683097
231,alice springs,-23.7,133.8833,13.75,35,0,8.75,AU,1683683098
232,san antonio de pale,-1.4014,5.6325,27.99,81,29,4.23,GQ,1683683098
233,dalbandin,28.8947,64.4101,28.15,8,100,1.68,PK,1683683098
234,north battleford,52.7834,-108.2847,18.05,36,100,5.66,CA,1683683098
235,maputo,-25.9653,32.5892,19.01,86,40,1.03,MZ,1683683098
236,nova vicosa,-17.8919,-39.3719,23.6,77,66,2.74,BR,1683683099
237,puerto madryn,-42.7692,-65.0385,10.19,80,0,5.36,AR,1683683082
238,fort bragg,35.139,-79.006,23.91,67,0,0.0,US,1683682842
239,yaren,-0.5472,166.916,28.79,79,36,7.41,NR,1683683099
240,kingston,17.997,-76.7936,26.8,85,95,0.45,JM,1683682899
241,ola,59.5833,151.2833,8.97,81,43,3.28,RU,1683683099
242,gadzhiyevo,69.2551,33.3362,1.5,99,100,3.48,RU,1683683100
243,comrat,46.3003,28.6572,5.91,81,12,2.95,MD,1683683100
244,bexhill-on-sea,50.8502,0.471,12.15,75,47,3.38,GB,1683683100
245,lodja,-3.4833,23.4333,20.79,97,99,0.23,CD,1683683100
246,san ignacio de velasco,-16.3667,-60.95,18.69,94,64,1.83,BO,1683683100
247,batang,-6.4846,110.7083,27.97,78,100,1.96,ID,1683683100
248,arkhangel'sk,64.5401,40.5433,2.82,94,99,1.41,RU,1683683101
249,kailua-kona,19.6406,-155.9956,27.38,73,100,3.6,US,1683682828
250,imbituba,-28.24,-48.6703,16.67,69,19,1.66,BR,1683683101
251,kerikeri,-35.2268,173.9474,16.39,74,55,5.49,NZ,1683683101
252,"magapit, aguiguican",18.1079,121.677,28.16,78,47,3.35,PH,1683683102
253,novodvinsk,64.4165,40.8122,2.78,94,95,1.29,RU,1683682833
254,kayangel,8.0823,134.7173,28.64,74,96,1.67,PW,1683683102
255,talara,-4.5772,-81.2719,25.05,80,7,5.86,PE,1683683103
256,lower sackville,44.7733,-63.6885,5.51,83,75,1.54,CA,1683683103
257,caraguatatuba,-23.6338,-45.4899,22.31,97,100,1.0,BR,1683682967
258,aykhal,66.0,111.5,-7.67,90,100,9.33,RU,1683683103
